iter	Passed	Remaining
0	0	61
1	1	53
2	1	50
3	1	45
4	2	43
5	2	43
6	3	42
7	3	43
8	4	42
9	4	40
10	4	40
11	5	40
12	6	40
13	6	40
14	12	71
15	13	73
16	14	73
17	17	78
18	17	75
19	18	73
20	18	71
21	19	68
22	20	69
23	21	67
24	21	64
25	23	65
26	23	63
27	24	61
28	25	62
29	26	62
30	29	65
31	33	70
32	34	70
33	35	68
34	35	66
35	36	64
36	36	62
37	37	60
38	37	58
39	38	57
40	38	55
41	38	53
42	39	52
43	40	51
44	40	49
45	41	48
46	41	46
47	42	45
48	42	44
49	43	43
50	43	42
51	44	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	35
57	47	34
58	49	34
59	49	33
60	50	32
61	51	31
62	52	30
63	53	30
64	53	29
65	54	28
66	55	27
67	56	26
68	56	25
69	57	24
70	59	24
71	60	23
72	69	25
73	70	24
74	70	23
75	71	22
76	71	21
77	72	20
78	72	19
79	73	18
80	73	17
81	74	16
82	74	15
83	75	14
84	75	13
85	76	12
86	77	11
87	77	10
88	77	9
89	78	8
90	78	7
91	79	6
92	79	6
93	83	5
94	84	4
95	84	3
96	85	2
97	85	1
98	86	0
99	86	0
